"","x"
"1","/NRAS/ARAF/BRAF/RAF1/MAP2K1/MAP2K2/MAPK1/MAPK3/RET/HRAS/KRAS/CCND1"
"2","/TCF7L1/TCF7L2/LEF1/MYC/CCND1"
"3","/GADD45B/GADD45G/BAX/BAK1/DDB2/POLK/PAX8/RXRA/RXRB/RXRG/PPARG"
